Fecha;Año;Mes;Residencia;Ambito;Promedio de Estancia Media;Total Pernoctaciones;Total Viajeros;Acumulado Año;Variación Año Anterior;Var. % Año Anterior;Variación Periodo Anterior;Var. % Periodo Anterior
01/02/2018 0:00;2018;febrero;Total;Córdoba REST;1,63;21575;13219;23820;-1316;-9,05%;2618;24,70%
01/02/2018 0:00;2018;febrero;España;Córdoba REST;1,61;19679;12193;21769;-790;-6,08%;2617;27,33%
01/02/2018 0:00;2018;febrero;Total;Almería CAP;1,73;30808;17851;34306;979;5,80%;1396;8,48%
01/02/2018 0:00;2018;febrero;Fuera de España;Almería REST;6,47;49788;7700;14050;-207;-2,62%;1350;21,26%
01/02/2018 0:00;2018;febrero;Total;Málaga CAP;1,81;170017;94178;187080;-876;-0,92%;1276;1,37%
01/02/2018 0:00;2018;febrero;Fuera de España;Almería CAP;1,92;8576;4473;8200;1115;33,20%;746;20,02%
01/02/2018 0:00;2018;febrero;España;Almería CAP;1,66;22232;13378;26106;-136;-1,01%;650;5,11%
01/02/2018 0:00;2018;febrero;España;Málaga CAP;1,56;64424;41168;81696;1395;3,51%;640;1,58%
01/02/2018 0:00;2018;febrero;Fuera de España;Málaga CAP;1,99;105593;53010;105384;-2271;-4,11%;636;1,21%
01/02/2018 0:00;2018;febrero;Fuera de España;Huelva;5,04;31177;6192;11905;-265;-4,10%;479;8,38%
01/02/2018 0:00;2018;febrero;Fuera de España;Jaén;1,71;6405;3743;7015;734;24,39%;471;14,39%
